2016-09-19 23:39:37,479 [Worker-26] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.journaldev:KagamiAuthService:1.0 @ C:\Users\DavidHusen\Desktop\auth\pom.xml.
2016-09-19 23:39:43,135 [Worker-26] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /KagamiAuthService/src/main/java
2016-09-19 23:39:43,136 [Worker-26] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /KagamiAuthService/src/main/resources
2016-09-19 23:39:43,137 [Worker-26] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /KagamiAuthService/src/test/java
2016-09-19 23:39:43,137 [Worker-26] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /KagamiAuthService/src/test/resources
2016-09-19 23:39:46,916 [Worker-26] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 18 sec
2016-09-19 23:39:54,172 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-19 23:39:54,221 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 7 resources
2016-09-19 23:39:54,255 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-19 23:39:54,278 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-09-19 23:40:58,157 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-19 23:40:58,247 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 7 resources
2016-09-19 23:40:58,295 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-19 23:40:58,336 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
